open_time,open,high,low,close,volume
2020/9/30 8:43,10813,10813,10812.28,10813,19.498359
2020/9/30 8:44,10813,10813,10811,10811.01,10.726893
2020/9/30 8:45,10811.11,10812.26,10808.19,10812.26,46.897064
2020/9/30 8:46,10812.26,10817.11,10812.26,10817.11,22.239245
2020/9/30 8:47,10817.11,10822.68,10816.08,10821.89,30.355273
2020/9/30 8:48,10821.89,10826.89,10821.89,10826.76,18.132796
2020/9/30 8:49,10826.76,10826.89,10824.22,10825.46,18.684878
2020/9/30 8:50,10825.46,10825.67,10811.26,10812.5,21.457246
2020/9/30 8:51,10812.5,10822.77,10811.27,10820.08,23.289016
2020/9/30 8:52,10820.09,10820.09,10815.96,10815.97,17.413329
2020/9/30 8:53,10815.97,10816.96,10811.01,10813.08,24.93663
2020/9/30 8:54,10813.07,10813.16,10810.59,10810.96,8.10208
2020/9/30 8:55,10810.96,10815.5,10808.94,10814.84,16.357934
2020/9/30 8:56,10814.84,10816.34,10810.7,10812.76,25.081918
2020/9/30 8:57,10812.76,10814.68,10812.75,10814.32,3.950886
2020/9/30 8:58,10814.21,10814.49,10810.79,10810.79,12.376174
2020/9/30 8:59,10810.79,10810.8,10809.17,10809.17,15.114231
2020/9/30 9:00,10809.18,10813.09,10809.17,10809.46,29.960149
2020/9/30 9:01,10809.46,10809.98,10809.05,10809.06,7.299233
2020/9/30 9:02,10809.05,10809.05,10803.02,10804.42,22.812728
2020/9/30 9:03,10804.41,10811.72,10804.41,10811.29,10.882997
2020/9/30 9:04,10811.29,10811.29,10809.29,10810.51,11.640599
2020/9/30 9:05,10810.5,10815.79,10810.09,10815.79,20.802886
2020/9/30 9:06,10815.79,10815.79,10814,10814.45,5.751392
2020/9/30 9:07,10814.52,10814.52,10809.98,10811.02,8.560425
2020/9/30 9:08,10810.95,10812.04,10808.88,10809.31,12.11939
2020/9/30 9:09,10809.31,10809.55,10801.11,10806.6,30.216941
2020/9/30 9:10,10806.6,10806.94,10797.68,10802.58,37.385947
2020/9/30 9:11,10802.58,10805.91,10802.04,10803.15,6.939577
2020/9/30 9:12,10803.16,10803.81,10801.84,10803.35,7.026525
2020/9/30 9:13,10803.35,10803.85,10802.87,10803.85,7.390649
2020/9/30 9:14,10803.84,10811.43,10803.84,10805,19.236078
2020/9/30 9:15,10805,10810,10804.99,10808.2,14.100933
2020/9/30 9:16,10808.21,10813.08,10808.2,10811.55,10.820484
2020/9/30 9:17,10811.55,10813.86,10808.49,10809.87,13.472663
2020/9/30 9:18,10809.87,10811.4,10809.46,10811.27,10.935979
2020/9/30 9:19,10811.27,10819.21,10811.27,10818.67,39.094107
2020/9/30 9:20,10818.68,10819.66,10818.56,10819.4,25.002115
2020/9/30 9:21,10819.38,10819.51,10817.37,10818.06,24.183102
2020/9/30 9:22,10818.06,10819,10818.06,10818.85,9.048693
2020/9/30 9:23,10818.84,10821.98,10818.69,10821.77,18.983458
2020/9/30 9:24,10821.78,10821.86,10818.36,10819.24,22.278868
2020/9/30 9:25,10819.24,10819.83,10818.51,10819.83,18.906439
2020/9/30 9:26,10819.83,10819.83,10817.17,10817.18,15.537564
2020/9/30 9:27,10817.17,10821.08,10817.17,10821.07,30.138805
2020/9/30 9:28,10821.08,10821.8,10818.2,10818.42,14.00065
2020/9/30 9:29,10818.43,10821.6,10818.43,10819.56,22.690002
2020/9/30 9:30,10819.56,10819.81,10817.12,10818.18,4.809583
2020/9/30 9:31,10818.17,10818.54,10817.14,10818.02,4.448228
2020/9/30 9:32,10818.02,10819.17,10817.64,10819.17,7.026055
2020/9/30 9:33,10819.74,10821.54,10819.51,10819.86,17.633857
2020/9/30 9:34,10819.85,10820.77,10819.52,10819.54,8.722429
2020/9/30 9:35,10819.53,10819.53,10805.01,10805.66,50.442757
2020/9/30 9:36,10805.65,10805.66,10800,10804.74,42.970004
2020/9/30 9:37,10804.74,10804.75,10790.07,10790.98,64.651293
2020/9/30 9:38,10790.67,10790.74,10782.83,10786.96,71.240856
2020/9/30 9:39,10786.89,10794.5,10783.38,10792.33,35.125842
2020/9/30 9:40,10792.33,10793.3,10790.92,10790.92,8.67054
2020/9/30 9:41,10790.92,10790.93,10785.75,10789.05,21.516659
2020/9/30 9:42,10789.06,10791.48,10788.15,10789.1,20.868139
2020/9/30 9:43,10789.11,10790.88,10788.78,10788.78,9.003152
2020/9/30 9:44,10788.79,10791.48,10787.19,10790.91,12.285186
2020/9/30 9:45,10790.91,10791.17,10790.43,10790.68,4.431996
2020/9/30 9:46,10790.68,10790.68,10784.93,10785.11,20.561543
2020/9/30 9:47,10785.03,10785.95,10782.66,10785.54,19.189923
2020/9/30 9:48,10785.55,10788.19,10782.61,10783.57,23.064706
2020/9/30 9:49,10783.57,10783.58,10772.32,10773.71,44.951694
2020/9/30 9:50,10773.71,10781.29,10773.51,10779.96,37.794488
2020/9/30 9:51,10779.95,10787.61,10779.39,10787.27,55.995134
2020/9/30 9:52,10787.27,10788.23,10786.91,10787.79,11.839307
2020/9/30 9:53,10787.79,10790.75,10785.8,10787.12,12.492712
2020/9/30 9:54,10787.11,10792.43,10787.11,10792.43,26.638496
2020/9/30 9:55,10793.02,10796,10788.96,10788.96,24.325192
2020/9/30 9:56,10788.97,10789.39,10784.65,10786.12,34.816246
2020/9/30 9:57,10786.12,10791.62,10786.12,10790.35,20.126486
2020/9/30 9:58,10790.36,10794.67,10790.15,10794.34,21.879927
2020/9/30 9:59,10794.34,10794.34,10788.29,10789.45,42.339969
2020/9/30 10:00,10789.45,10789.45,10784.69,10788.25,26.872721
2020/9/30 10:01,10788.26,10794.01,10788.25,10793.31,11.31457
2020/9/30 10:02,10793.31,10795.52,10793.31,10794.14,7.860428
2020/9/30 10:03,10794.14,10794.62,10793.59,10794.61,6.36956
2020/9/30 10:04,10794.62,10795.64,10794.61,10794.98,12.597025
2020/9/30 10:05,10794.98,10795.11,10786.98,10790.25,24.111063
2020/9/30 10:06,10790.25,10790.5,10789.72,10789.73,5.742719
2020/9/30 10:07,10789.73,10795.58,10789.72,10794,21.77477
2020/9/30 10:08,10794,10800,10794,10799.69,21.215107
